Timestamp,AcDeliveryTemp_24,AcDeliveryTemp_25,AcDeliveryTemp_27,AcDeliveryTemp_28,AcDeliveryTemp_43,AcOnoffState_24,AcOnoffState_25,AcOnoffState_27,AcOnoffState_28,AcOnoffState_43,AcReturnTemp_24,AcReturnTemp_25,AcReturnTemp_27,AcReturnTemp_28,AcReturnTemp_43,AcSetTemp_24,AcSetTemp_25,AcSetTemp_27,AcSetTemp_28,AcSetTemp_43,AcWorkTime_24,AcWorkTime_25,AcWorkTime_27,AcWorkTime_28,AcWorkTime_43,AcXPos_24,AcXPos_25,AcXPos_27,AcXPos_28,AcXPos_43,AcYPos_24,AcYPos_25,AcYPos_27,AcYPos_28,AcYPos_43,ColdTempMean,HotTempMean,InstantPue,ItElectricPower,ItElectricTotalWork,RackColdTemp_12,RackColdTemp_13,RackColdTemp_14,RackColdTemp_15,RackColdTemp_22,RackColdTemp_23,RackColdTemp_24,RackColdTemp_25,RackColdTemp_27,RackColdTemp_29,RackColdTemp_3,RackColdTemp_30,RackColdTemp_31,RackColdTemp_34,RackColdTemp_35,RackColdTemp_4,RackColdTemp_7,RackColdTemp_8,RackColdTemp_9,RackHotTemp_12,RackHotTemp_13,RackHotTemp_14,RackHotTemp_15,RackHotTemp_22,RackHotTemp_23,RackHotTemp_24,RackHotTemp_25,RackHotTemp_27,RackHotTemp_29,RackHotTemp_3,RackHotTemp_30,RackHotTemp_31,RackHotTemp_34,RackHotTemp_35,RackHotTemp_4,RackHotTemp_7,RackHotTemp_8,RackHotTemp_9,RackXPos_12,RackXPos_13,RackXPos_14,RackXPos_15,RackXPos_2,RackXPos_22,RackXPos_23,RackXPos_24,RackXPos_25,RackXPos_27,RackXPos_29,RackXPos_3,RackXPos_30,RackXPos_31,RackXPos_34,RackXPos_35,RackXPos_4,RackXPos_7,RackXPos_8,RackXPos_9,RackYPos_12,RackYPos_13,RackYPos_14,RackYPos_15,RackYPos_2,RackYPos_22,RackYPos_23,RackYPos_24,RackYPos_25,RackYPos_27,RackYPos_29,RackYPos_3,RackYPos_30,RackYPos_31,RackYPos_34,RackYPos_35,RackYPos_4,RackYPos_7,RackYPos_8,RackYPos_9,TotalElectricPower,TotalElectricTotalWork,XPosMax,XPosMin,YPosMax,YPosMin
2020-08-09 16:44:08,19.6,21.2,20.8,20.8,20.3,1,1,1,1,1,27.3,27.5,25.5,28.7,28.9,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1092,752,752,412,1160,350,350,100,100,100,21.251578947368422,26.185789473684213,1.2129923048411042,59240.0,4.9279166666666665,20.45,20.85,20.8,20.5,21.53,21.5,20.43,21.2,24.1,20.5,22.87,20.8,20.83,20.27,19.7,22.7,21.9,21.3,21.55,25.35,26.2,25.23,27.77,22.35,27.9,25.2,28.1,25.5,27.8,23.03,29.0,27.67,25.23,23.4,23.3,27.2,29.4,27.9,820,888,956,1024,140,344,412,480,548,684,820,208,888,956,1160,1228,276,480,548,616,100,100,100,100,100,350,350,350,350,350,350,100,350,350,350,350,100,100,100,100,71857.66414000001,5.970852835833334,1228,140,350,100
2020-08-09 16:49:14,20.4,21.4,21.8,20.4,21.4,1,1,1,1,1,28.5,28.7,26.9,29.6,30.4,20.0,20.0,20.0,20.0,20.0,2,2,2,2,2,1092,752,752,412,1160,350,350,100,100,100,22.52315789473684,27.55421052631579,1.209674300047358,58920.0,4.923333333333333,21.75,22.1,22.2,22.2,22.47,22.5,21.17,22.4,25.6,22.0,23.63,22.87,22.4,21.5,21.4,23.6,23.05,22.2,22.9,26.85,27.97,26.87,29.57,23.1,29.0,26.63,29.8,27.0,29.4,23.67,31.07,29.83,26.87,24.6,24.0,28.17,30.3,28.83,820,888,956,1024,140,344,412,480,548,684,820,208,888,956,1160,1228,276,480,548,616,100,100,100,100,100,350,350,350,350,350,350,100,350,350,350,350,100,100,100,100,71274.00976,5.963819745833332,1228,140,350,100
2020-08-09 16:54:41,21.7,22.1,23.5,21.3,23.2,1,1,1,1,1,29.7,29.9,28.3,30.0,31.5,21.0,21.0,21.0,21.0,21.0,3,3,3,3,3,1092,752,752,412,1160,350,350,100,100,100,23.551052631578944,28.722105263157896,1.209076817851141,58640.0,4.898333333333333,22.85,23.15,23.35,23.5,23.27,23.2,21.77,23.7,26.7,23.5,24.33,24.27,23.6,22.73,22.7,24.3,23.85,22.9,23.8,28.35,29.57,28.33,31.07,23.9,29.9,27.6,30.8,28.2,30.8,24.47,32.5,31.1,28.33,25.7,24.8,29.03,31.5,29.77,820,888,956,1024,140,344,412,480,548,684,820,208,888,956,1160,1228,276,480,548,616,100,100,100,100,100,350,350,350,350,350,350,100,350,350,350,350,100,100,100,100,70900.2646,5.923928098333332,1228,140,350,100
2020-08-09 17:00:10,22.2,23.1,25.6,22.2,24.9,1,1,1,1,1,30.6,30.4,29.1,30.5,32.2,21.0,20.0,21.0,20.0,21.0,4,4,4,4,4,1092,752,752,412,1160,350,350,100,100,100,24.53,29.696315789473687,1.2378263666739537,58850.0,4.895416666666666,23.95,24.35,24.35,24.7,24.1,23.9,22.4,24.7,27.4,24.6,25.17,25.5,24.63,23.87,23.8,25.0,24.85,23.9,24.9,29.5,30.6,29.43,32.0,24.75,30.6,28.37,31.6,29.2,32.0,25.17,33.67,32.37,29.37,26.8,25.5,29.93,32.8,30.57,820,888,956,1024,140,344,412,480,548,684,820,208,888,956,1160,1228,276,480,548,616,100,100,100,100,100,350,350,350,350,350,350,100,350,350,350,350,100,100,100,100,72846.08168,5.9894310950000005,1228,140,350,100
2020-08-09 17:05:39,21.4,21.2,19.2,22.9,20.8,1,1,1,1,1,29.9,29.8,27.4,30.5,31.0,21.0,19.0,20.0,19.0,21.0,5,5,5,5,5,1092,752,752,412,1160,350,350,100,100,100,24.142631578947366,29.474736842105262,1.4119073741903871,58870.0,4.904999999999999,23.6,23.7,24.05,24.0,23.73,23.7,22.23,23.7,27.5,23.8,25.17,24.43,23.83,23.57,22.9,25.0,24.9,24.3,24.6,29.2,30.33,29.23,31.27,24.55,30.0,28.27,31.5,29.9,30.1,25.23,33.17,32.1,29.07,27.6,25.3,29.93,33.1,30.17,820,888,956,1024,140,344,412,480,548,684,820,208,888,956,1160,1228,276,480,548,616,100,100,100,100,100,350,350,350,350,350,350,100,350,350,350,350,100,100,100,100,83118.98712,6.498544533333334,1228,140,350,100
2020-08-09 17:11:08,19.9,15.9,18.4,18.3,18.8,1,1,1,1,1,28.4,28.7,26.3,29.3,30.4,21.0,18.0,20.0,18.0,21.0,6,6,6,6,6,1092,752,752,412,1160,350,350,100,100,100,21.897894736842105,27.827368421052633,1.3779742566393147,58910.0,4.9075,20.05,21.5,22.9,22.8,21.07,20.6,20.23,20.6,27.0,21.0,23.43,22.2,21.83,22.1,21.4,23.4,22.3,20.8,20.85,26.65,28.8,28.0,30.53,22.25,27.7,26.27,29.2,29.6,28.0,24.03,31.63,30.63,28.1,27.6,23.7,28.13,29.9,28.0,820,888,956,1024,140,344,412,480,548,684,820,208,888,956,1160,1228,276,480,548,616,100,100,100,100,100,350,350,350,350,350,350,100,350,350,350,350,100,100,100,100,81176.46346,6.845643774166666,1228,140,350,100
2020-08-09 17:16:36,19.6,15.6,18.5,18.8,18.8,1,1,1,1,1,27.8,28.4,24.8,28.0,29.9,21.0,18.0,20.0,18.0,21.0,7,7,7,7,7,1092,752,752,412,1160,350,350,100,100,100,21.147894736842105,27.174210526315786,1.3608904197802494,58980.0,4.912083333333333,19.1,20.65,22.1,22.3,20.3,20.5,20.03,19.6,26.4,20.2,23.1,21.13,21.03,21.07,20.6,22.8,21.45,19.7,19.75,25.6,27.93,27.2,29.97,21.85,27.3,25.63,28.6,29.2,27.2,23.7,30.93,30.13,27.23,26.8,23.5,27.07,29.3,27.17,820,888,956,1024,140,344,412,480,548,684,820,208,888,956,1160,1228,276,480,548,616,100,100,100,100,100,350,350,350,350,350,350,100,350,350,350,350,100,100,100,100,80265.31696,6.726740850833332,1228,140,350,100
2020-08-09 17:22:05,20.0,16.0,19.1,18.3,20.7,1,1,1,1,1,28.0,28.5,24.9,28.6,29.9,21.0,18.0,20.0,18.0,21.0,8,8,8,8,8,1092,752,752,412,1160,350,350,100,100,100,20.968947368421052,26.847894736842107,1.3411979835920602,58590.0,4.89875,19.2,20.85,22.0,22.43,19.77,19.6,19.63,19.6,26.2,20.4,22.47,21.1,21.03,21.43,21.2,22.1,20.85,19.2,19.35,25.6,27.8,27.2,30.1,21.35,26.7,24.87,27.9,28.8,27.2,23.2,30.83,29.77,27.13,26.0,23.1,26.93,28.6,27.03,820,888,956,1024,140,344,412,480,548,684,820,208,888,956,1160,1228,276,480,548,616,100,100,100,100,100,350,350,350,350,350,350,100,350,350,350,350,100,100,100,100,78580.78986,6.618587784166666,1228,140,350,100
2020-08-09 17:27:33,20.4,16.3,19.4,18.0,21.0,1,1,1,1,1,28.0,28.6,24.7,28.5,30.2,21.0,18.0,20.0,18.0,21.0,9,9,9,9,9,1092,752,752,412,1160,350,350,100,100,100,21.071052631578947,26.79421052631579,1.336523020739678,58760.0,4.8895833333333325,19.45,21.0,22.15,22.63,19.67,19.5,19.47,19.7,26.2,20.7,22.23,21.33,21.27,21.8,21.7,22.1,20.75,19.2,19.5,25.6,27.77,27.3,30.17,21.05,26.5,24.63,27.7,28.6,27.2,23.0,30.87,29.83,27.4,25.8,22.9,26.9,28.8,27.07,820,888,956,1024,140,344,412,480,548,684,820,208,888,956,1160,1228,276,480,548,616,100,100,100,100,100,350,350,350,350,350,350,100,350,350,350,350,100,100,100,100,78534.09270000001,6.5464534400000005,1228,140,350,100
2020-08-09 17:33:08,20.7,16.2,19.2,17.7,21.2,1,1,1,1,1,28.3,28.4,25.0,28.3,30.2,21.0,18.0,20.0,18.0,21.0,10,10,10,10,10,1092,752,752,412,1160,350,350,100,100,100,21.129473684210524,26.76578947368421,1.337453994520166,58640.0,4.891666666666667,19.5,21.1,22.35,22.87,19.73,19.5,19.33,19.7,26.2,20.9,22.1,21.5,21.4,22.03,21.9,22.0,20.65,19.2,19.5,25.8,27.83,27.43,30.17,21.05,26.5,24.47,27.5,28.6,27.2,22.83,30.87,29.87,27.47,25.8,22.8,26.73,28.6,27.03,820,888,956,1024,140,344,412,480,548,684,820,208,888,956,1160,1228,276,480,548,616,100,100,100,100,100,350,350,350,350,350,350,100,350,350,350,350,100,100,100,100,78428.30223999999,6.540099789166666,1228,140,350,100
